Term,Year,Count
asteroid,1777,0
asteroid,1778,0
asteroid,1779,0
asteroid,1780,0
asteroid,1781,0
asteroid,1782,0
asteroid,1783,0
asteroid,1784,0
asteroid,1785,0
asteroid,1786,0
asteroid,1787,0
asteroid,1788,0
asteroid,1789,0
asteroid,1790,0
asteroid,1791,0
asteroid,1792,0
asteroid,1793,0
asteroid,1794,0
asteroid,1795,0
asteroid,1796,0
asteroid,1797,0
asteroid,1798,0
asteroid,1799,0
asteroid,1800,0
asteroid,1801,0
asteroid,1802,0
asteroid,1803,0
asteroid,1804,0
asteroid,1805,0
asteroid,1806,0
asteroid,1807,0
asteroid,1808,0
asteroid,1809,0
asteroid,1810,0
asteroid,1811,0
asteroid,1812,0
asteroid,1813,0
asteroid,1814,0
asteroid,1815,0
asteroid,1816,0
asteroid,1817,0
asteroid,1818,0
asteroid,1819,1
asteroid,1820,0
asteroid,1821,1
asteroid,1822,0
asteroid,1823,0
asteroid,1824,1
asteroid,1825,0
asteroid,1826,0
asteroid,1827,0
asteroid,1828,0
asteroid,1829,0
asteroid,1830,0
asteroid,1831,0
asteroid,1832,0
asteroid,1833,1
asteroid,1834,0
asteroid,1835,0
asteroid,1836,4
asteroid,1837,2
asteroid,1838,0
asteroid,1839,0
asteroid,1840,1
asteroid,1841,0
asteroid,1842,2
asteroid,1843,8
asteroid,1844,1
asteroid,1845,6
asteroid,1846,3
asteroid,1847,21
asteroid,1848,2
asteroid,1849,3
asteroid,1850,12
asteroid,1851,18
asteroid,1852,24
asteroid,1853,27
asteroid,1854,45
asteroid,1855,47
asteroid,1856,30
asteroid,1857,43
asteroid,1858,42
asteroid,1859,27
asteroid,1860,49
asteroid,1861,35
asteroid,1862,16
asteroid,1863,16
asteroid,1864,29
asteroid,1865,48
asteroid,1866,136
asteroid,1867,60
asteroid,1868,77
asteroid,1869,84
asteroid,1870,109
asteroid,1871,137
asteroid,1872,225
asteroid,1873,197
asteroid,1874,310
asteroid,1875,229
asteroid,1876,141
asteroid,1877,182
asteroid,1878,113
asteroid,1879,102
asteroid,1880,127
asteroid,1881,117
asteroid,1882,79
asteroid,1883,110
asteroid,1884,156
asteroid,1885,112
asteroid,1886,113
asteroid,1887,135
asteroid,1888,188
asteroid,1889,132
asteroid,1890,74
asteroid,1891,114
asteroid,1892,173
asteroid,1893,118
asteroid,1894,139
asteroid,1895,112
asteroid,1896,76
asteroid,1897,141
asteroid,1898,131
asteroid,1899,86
asteroid,1900,117
asteroid,1901,90
asteroid,1902,107
asteroid,1903,88
asteroid,1904,73
asteroid,1905,64
asteroid,1906,106
asteroid,1907,143
asteroid,1908,101
asteroid,1909,135
asteroid,1910,117
asteroid,1911,94
asteroid,1912,70
asteroid,1913,161
asteroid,1914,58
asteroid,1915,68
asteroid,1916,41
asteroid,1917,46
asteroid,1918,29
asteroid,1919,54
asteroid,1920,34
asteroid,1921,108
asteroid,1922,67
asteroid,1923,26
asteroid,1924,23
asteroid,1925,19
asteroid,1926,8
asteroid,1927,8
asteroid,1928,17
asteroid,1929,18
asteroid,1930,40
asteroid,1931,38
asteroid,1932,24
asteroid,1933,23
asteroid,1934,14
asteroid,1935,25
asteroid,1936,23
asteroid,1937,14
asteroid,1938,22
asteroid,1939,24
asteroid,1940,12
asteroid,1941,20
asteroid,1942,22
asteroid,1943,15
asteroid,1944,4
asteroid,1945,8
asteroid,1946,5
asteroid,1947,15
asteroid,1948,10
asteroid,1949,2
asteroid,1950,5
asteroid,1951,21
asteroid,1952,13
asteroid,1953,10
asteroid,1954,15
asteroid,1955,6
asteroid,1956,4
asteroid,1957,7
asteroid,1958,9
asteroid,1959,11
asteroid,1960,10
asteroid,1961,15
asteroid,1962,15
asteroid,1963,21
astronaut,1777,0
astronaut,1778,0
astronaut,1779,0
astronaut,1780,0
astronaut,1781,0
astronaut,1782,0
astronaut,1783,0
astronaut,1784,0
astronaut,1785,0
astronaut,1786,0
astronaut,1787,0
astronaut,1788,0
astronaut,1789,0
astronaut,1790,0
astronaut,1791,0
astronaut,1792,0
astronaut,1793,0
astronaut,1794,0
astronaut,1795,0
astronaut,1796,0
astronaut,1797,0
astronaut,1798,0
astronaut,1799,0
astronaut,1800,0
astronaut,1801,0
astronaut,1802,0
astronaut,1803,0
astronaut,1804,0
astronaut,1805,0
astronaut,1806,0
astronaut,1807,0
astronaut,1808,0
astronaut,1809,0
astronaut,1810,0
astronaut,1811,0
astronaut,1812,0
astronaut,1813,0
astronaut,1814,0
astronaut,1815,0
astronaut,1816,0
astronaut,1817,0
astronaut,1818,0
astronaut,1819,0
astronaut,1820,0
astronaut,1821,0
astronaut,1822,0
astronaut,1823,0
astronaut,1824,0
astronaut,1825,0
astronaut,1826,0
astronaut,1827,0
astronaut,1828,0
astronaut,1829,0
astronaut,1830,0
astronaut,1831,0
astronaut,1832,0
astronaut,1833,0
astronaut,1834,0
astronaut,1835,0
astronaut,1836,0
astronaut,1837,0
astronaut,1838,0
astronaut,1839,0
astronaut,1840,0
astronaut,1841,0
astronaut,1842,0
astronaut,1843,0
astronaut,1844,0
astronaut,1845,1
astronaut,1846,0
astronaut,1847,0
astronaut,1848,0
astronaut,1849,0
astronaut,1850,0
astronaut,1851,1
astronaut,1852,0
astronaut,1853,0
astronaut,1854,0
astronaut,1855,0
astronaut,1856,0
astronaut,1857,0
astronaut,1858,1
astronaut,1859,0
astronaut,1860,0
astronaut,1861,1
